nationalInsuranceNumber,lastName,dateOfBirth,nationalAsylumSeekerServiceNumber,group
AB530473D,AARDLOBHXC,1990-01-01,,RichcBulk
AB705509D,NCRZDQXUMN,1990-01-01,,RichcBulk
AB561895D,MWXXLTTFNZ,1990-01-01,,RichcBulk
AB482589D,XVDDGBXJIU,1990-01-01,,RichcBulk
AB249114D,NZTWYNHWMA,1990-01-01,,RichcBulk
AB405647D,PTDXPCRRDM,1990-01-01,,RichcBulk
AB264059D,EKGWHNBIJX,1990-01-01,,RichcBulk
AB121796D,NMHHIFPMFA,1990-01-01,,RichcBulk
AB709476D,LWUSIFKSUX,1990-01-01,,RichcBulk
AB900231D,RTQZUQCWUH,1990-01-01,,RichcBulk
AB795359D,MRZWIWHOBO,1990-01-01,,RichcBulk
AB423218D,RQAFGLFJKQ,1990-01-01,,RichcBulk
AB350434D,KBQLGWICQH,1990-01-01,,RichcBulk
AB159479D,ZZHMQSNRQK,1990-01-01,,RichcBulk
AB645952D,ZROHUTISOC,1990-01-01,,RichcBulk
AB370386D,XWTHZBJMAA,1990-01-01,,RichcBulk
AB953808D,RNGMLLBTIX,1990-01-01,,RichcBulk
AB515391D,SEHARXFSBH,1990-01-01,,RichcBulk
AB594939D,HWQHGFYDWC,1990-01-01,,RichcBulk
AB452772D,OQDGHPDQHQ,1990-01-01,,RichcBulk
AB626881D,PIUOWLJWLM,1990-01-01,,RichcBulk
AB440921D,IPKXFRXTLN,1990-01-01,,RichcBulk
AB439835D,IVPJJSJXBX,1990-01-01,,RichcBulk
AB471436D,FIUTSVCZSO,1990-01-01,,RichcBulk
AB535109D,XHQKKVNYVT,1990-01-01,,RichcBulk
AB492236D,FVUALLQLOU,1990-01-01,,RichcBulk
AB723684D,FXHZWRNBOX,1990-01-01,,RichcBulk
AB280089D,CNNWCYJRZU,1990-01-01,,RichcBulk
AB154115D,IBZPWRJTCT,1990-01-01,,RichcBulk
AB491402D,DNFJQLZLXC,1990-01-01,,RichcBulk
AB559550D,MITIGOAOAU,1990-01-01,,RichcBulk
AB679961D,JOHRBNUBZZ,1990-01-01,,RichcBulk
AB336163D,MVLHYXQNEA,1990-01-01,,RichcBulk
AB702343D,SGSQJOIIRX,1990-01-01,,RichcBulk
AB577906D,TQDDRAWEJL,1990-01-01,,RichcBulk
AB978282D,WIKJTLXOAP,1990-01-01,,RichcBulk
AB650326D,CGWVQNLTKL,1990-01-01,,RichcBulk
AB424834D,CFJKLPJQYJ,1990-01-01,,RichcBulk
AB232007D,PZNAULTYMJ,1990-01-01,,RichcBulk
AB425380D,TXEHEJPLHA,1990-01-01,,RichcBulk
AB677988D,NJUOSHTNBB,1990-01-01,,RichcBulk
AB724120D,WZIDDBLVOE,1990-01-01,,RichcBulk
AB776531D,TOJNZEIKBE,1990-01-01,,RichcBulk
AB903426D,ZCQTLSXTYU,1990-01-01,,RichcBulk
AB236507D,QFKLQLJQBO,1990-01-01,,RichcBulk
AB146141D,ZIFADLGBID,1990-01-01,,RichcBulk
AB168155D,CAAMUKOBLM,1990-01-01,,RichcBulk
AB940127D,PKZERLQGOD,1990-01-01,,RichcBulk
AB936241D,TMLROQUOCA,1990-01-01,,RichcBulk
AB560275D,FBMWBOUHFW,1990-01-01,,RichcBulk
AB510849D,QQOERZFPJB,1990-01-01,,RichcBulk
AB815802D,QBJRMKFFNC,1990-01-01,,RichcBulk
AB785897D,GNXXOSXMJN,1990-01-01,,RichcBulk
AB711162D,TJUYVZMYCE,1990-01-01,,RichcBulk
AB597797D,DNOITFFMNO,1990-01-01,,RichcBulk
AB480191D,OUOMVAAYFF,1990-01-01,,RichcBulk
AB848135D,VCUMTCLEAH,1990-01-01,,RichcBulk
AB418384D,OYTNTWNCGQ,1990-01-01,,RichcBulk
AB648746D,JAYMOZMHKD,1990-01-01,,RichcBulk
AB786535D,RQPTSNUISJ,1990-01-01,,RichcBulk
AB267862D,MRTFVHIZFG,1990-01-01,,RichcBulk
AB157901D,XUIFXVKGLI,1990-01-01,,RichcBulk
AB956827D,YBKYNUGJYL,1990-01-01,,RichcBulk
AB978164D,JLOBMCOFGK,1990-01-01,,RichcBulk
AB900317D,PBCUZHUHTB,1990-01-01,,RichcBulk
AB531266D,MFLEQVIBDE,1990-01-01,,RichcBulk
AB789449D,LWSFFFTXLE,1990-01-01,,RichcBulk
AB964647D,PYTDEUDIIR,1990-01-01,,RichcBulk
AB721521D,BVOHEBTHCW,1990-01-01,,RichcBulk
AB802944D,NFNMWZAOLL,1990-01-01,,RichcBulk
AB291457D,YDXNXJFQDJ,1990-01-01,,RichcBulk
AB299142D,JNMZDIIRSL,1990-01-01,,RichcBulk
AB592666D,CZXMQLHAFX,1990-01-01,,RichcBulk
AB196015D,SHIWCPRSHM,1990-01-01,,RichcBulk
AB190229D,VBMEPQQQCD,1990-01-01,,RichcBulk
AB350712D,CTZTKHXNHN,1990-01-01,,RichcBulk
AB943867D,RYRCKYVSYE,1990-01-01,,RichcBulk
AB392404D,LJEZPSRMMF,1990-01-01,,RichcBulk
AB101228D,CGCQSEIRVH,1990-01-01,,RichcBulk
AB825572D,XWPOTORFRD,1990-01-01,,RichcBulk
AB837308D,WCNDZHZIUZ,1990-01-01,,RichcBulk
AB276685D,SVIBXAHTPS,1990-01-01,,RichcBulk
AB690377D,XLPKTEJRBX,1990-01-01,,RichcBulk
AB639985D,MIGAPCIGUY,1990-01-01,,RichcBulk
AB232173D,HGRKLSKEJW,1990-01-01,,RichcBulk
AB523912D,NLYUWPTKUT,1990-01-01,,RichcBulk
AB365006D,GIBFLHTQNF,1990-01-01,,RichcBulk
AB367670D,XMCPMYAJCM,1990-01-01,,RichcBulk
AB478288D,MQPWQUDTHG,1990-01-01,,RichcBulk
AB870747D,WINFJQBTTD,1990-01-01,,RichcBulk
AB889224D,JAJXFVWELK,1990-01-01,,RichcBulk
AB505808D,VPLGCJVCHS,1990-01-01,,RichcBulk
AB302005D,QBIJGJAPUX,1990-01-01,,RichcBulk
AB610566D,YHSBKPJSFN,1990-01-01,,RichcBulk
AB917169D,IMEMKEGNRF,1990-01-01,,RichcBulk
AB411824D,VBNWVLYGDT,1990-01-01,,RichcBulk
AB697333D,SRTCMDONGO,1990-01-01,,RichcBulk
AB383551D,RMIYZYTGAM,1990-01-01,,RichcBulk
AB479103D,ACOWQUJCME,1990-01-01,,RichcBulk
AB853132D,JMUNNFFPVP,1990-01-01,,RichcBulk
AB142161D,SAMGVOLYAX,1990-01-01,,RichcBulk
AB416034D,TOOJMUFTQT,1990-01-01,,RichcBulk
AB105484D,PQNWKMJKSV,1990-01-01,,RichcBulk
AB133891D,GPAWYSGVMH,1990-01-01,,RichcBulk
AB944074D,EMUJGBDDRI,1990-01-01,,RichcBulk
AB993900D,LQTGRWZIYJ,1990-01-01,,RichcBulk
AB636101D,HYMGTHGOED,1990-01-01,,RichcBulk
AB101109D,LLBSCQLYFZ,1990-01-01,,RichcBulk
AB205707D,FTWYMEQHPR,1990-01-01,,RichcBulk
AB509592D,GJVRTPYPXX,1990-01-01,,RichcBulk
AB158182D,QQEXVJWWHX,1990-01-01,,RichcBulk
AB548916D,MIJNBLBBJH,1990-01-01,,RichcBulk
AB407261D,GXDBRHILGB,1990-01-01,,RichcBulk
AB964727D,SETJQLTFYO,1990-01-01,,RichcBulk
AB584165D,GEWAWINHZZ,1990-01-01,,RichcBulk
AB861524D,ANMKGMUVNN,1990-01-01,,RichcBulk
AB375589D,FLLCNRSEKH,1990-01-01,,RichcBulk
AB520794D,CKYAHRYOTD,1990-01-01,,RichcBulk
AB371957D,WOCZRYDNVX,1990-01-01,,RichcBulk
AB717528D,KJCMKENMUR,1990-01-01,,RichcBulk
AB533215D,VZEEOVHBYN,1990-01-01,,RichcBulk
AB636777D,OHHFUJJDOG,1990-01-01,,RichcBulk
AB128710D,HXCWDTQNTC,1990-01-01,,RichcBulk
AB130190D,MXKSFPKCXO,1990-01-01,,RichcBulk
AB312702D,HHLQTYPFFN,1990-01-01,,RichcBulk
AB979712D,ZDIRISJIAL,1990-01-01,,RichcBulk
AB378274D,FBHENILISW,1990-01-01,,RichcBulk
AB757256D,RKPWCJLBQR,1990-01-01,,RichcBulk
AB771504D,YFZAUBRZPQ,1990-01-01,,RichcBulk
AB260463D,SKPVITTOKR,1990-01-01,,RichcBulk
AB794210D,OAUCLLQJBG,1990-01-01,,RichcBulk
AB268701D,PRWDXESYLR,1990-01-01,,RichcBulk
AB624870D,WIXASOECAA,1990-01-01,,RichcBulk
AB615947D,SJEMTFPCWZ,1990-01-01,,RichcBulk
AB237994D,XESEFTHGGF,1990-01-01,,RichcBulk
AB914186D,YOOYYKPNAU,1990-01-01,,RichcBulk
AB862606D,OFYWMIGWOC,1990-01-01,,RichcBulk
AB506994D,YUTGYVYBQX,1990-01-01,,RichcBulk
AB290561D,VYTLDCAPAJ,1990-01-01,,RichcBulk
AB939209D,DGLKRCNLBK,1990-01-01,,RichcBulk
AB865154D,LRMZLXMXWS,1990-01-01,,RichcBulk
AB837565D,PMRXRTIZMT,1990-01-01,,RichcBulk
AB402652D,CCMNRTLUSF,1990-01-01,,RichcBulk
AB242254D,ZDQSQQOLFT,1990-01-01,,RichcBulk
AB374812D,UIBWWRQQXR,1990-01-01,,RichcBulk
AB407138D,BNKQWTCMJM,1990-01-01,,RichcBulk
AB536964D,WWSCCLNPZD,1990-01-01,,RichcBulk
AB325370D,PXEOHBLTAC,1990-01-01,,RichcBulk
AB362485D,XJLFJHWYCB,1990-01-01,,RichcBulk
AB828952D,GVRBKDOUUO,1990-01-01,,RichcBulk
AB129409D,KLZPNAMVEM,1990-01-01,,RichcBulk
AB287146D,LAFIGMXPNR,1990-01-01,,RichcBulk
AB876437D,PLUVCILSNZ,1990-01-01,,RichcBulk
AB296842D,TLSRDJJNDZ,1990-01-01,,RichcBulk
AB361737D,DHRVCKZVMA,1990-01-01,,RichcBulk
AB634202D,EIFNSVFVII,1990-01-01,,RichcBulk
AB276591D,HVDIOHJGZD,1990-01-01,,RichcBulk
AB626085D,PEVERKGMAF,1990-01-01,,RichcBulk
AB258697D,LQNWPFZXPX,1990-01-01,,RichcBulk
AB366457D,KYTNVUVVHN,1990-01-01,,RichcBulk
AB203231D,MZSVJDTUSL,1990-01-01,,RichcBulk
AB879934D,MZNCRTOSQG,1990-01-01,,RichcBulk
AB758495D,AQZCPFOJPK,1990-01-01,,RichcBulk
AB390980D,YRSNLQZPWZ,1990-01-01,,RichcBulk
AB103176D,RXRLOVRZLQ,1990-01-01,,RichcBulk
AB342702D,FFXQSAGVSJ,1990-01-01,,RichcBulk
AB210257D,JQLNVZKYPW,1990-01-01,,RichcBulk
AB459782D,DRKFUJGOVQ,1990-01-01,,RichcBulk
AB456382D,WRAHIMMGXU,1990-01-01,,RichcBulk
AB314675D,ITJEJJGQIW,1990-01-01,,RichcBulk
AB135703D,CIHURDPNNY,1990-01-01,,RichcBulk
AB608468D,XNTUYDILUU,1990-01-01,,RichcBulk
AB409789D,AGQXTJDWLB,1990-01-01,,RichcBulk
AB118232D,XMNFSEHYNQ,1990-01-01,,RichcBulk
AB786636D,DBNWNNECKO,1990-01-01,,RichcBulk
AB525932D,GVIGXSNQPV,1990-01-01,,RichcBulk
AB920474D,PSFFSNJJAQ,1990-01-01,,RichcBulk
AB854703D,NTKRAKBDKG,1990-01-01,,RichcBulk
AB658671D,SWRRJABHRO,1990-01-01,,RichcBulk
AB953482D,OAOEJQFEBT,1990-01-01,,RichcBulk
AB362395D,EUFLXPGVFW,1990-01-01,,RichcBulk
AB653229D,YVCXIXACFQ,1990-01-01,,RichcBulk
AB741233D,SBUWCQLQCC,1990-01-01,,RichcBulk
AB733496D,HOBZZJOEKY,1990-01-01,,RichcBulk
AB730928D,DZOBFWTPXJ,1990-01-01,,RichcBulk
AB286652D,HEUPVFOCFN,1990-01-01,,RichcBulk
AB661456D,RHDVIQBRUF,1990-01-01,,RichcBulk
AB305711D,STYMTSMKBL,1990-01-01,,RichcBulk
AB363139D,EDCSALWHJV,1990-01-01,,RichcBulk
AB613314D,LNYZDOWUMO,1990-01-01,,RichcBulk
AB174572D,PWNFDXSKGO,1990-01-01,,RichcBulk
AB165543D,WJNHFLSULQ,1990-01-01,,RichcBulk
AB980836D,GDVOCVBTGX,1990-01-01,,RichcBulk
AB818374D,KSDVZITHAC,1990-01-01,,RichcBulk
AB515219D,TCVQKJDOYN,1990-01-01,,RichcBulk
AB668930D,MWUNYAZJRT,1990-01-01,,RichcBulk
AB958968D,HLKSKBYAAW,1990-01-01,,RichcBulk
AB246108D,UGGGWNAMZA,1990-01-01,,RichcBulk
AB516973D,QSLQTSTGZA,1990-01-01,,RichcBulk
AB577888D,DTTLSJFTKX,1990-01-01,,RichcBulk
AB414411D,RKPTTZYGSQ,1990-01-01,,RichcBulk
AB531335D,QFVKLFRHSB,1990-01-01,,RichcBulk
AB370005D,PZAZQEOKNG,1990-01-01,,RichcBulk
AB105271D,EJHAOSNLFC,1990-01-01,,RichcBulk
AB755027D,OERDTSPPIB,1990-01-01,,RichcBulk
AB846405D,RGJDCQBFLG,1990-01-01,,RichcBulk
AB219410D,WUGFLBVRXR,1990-01-01,,RichcBulk
AB357653D,OMITJOTPXY,1990-01-01,,RichcBulk
AB638070D,KJPBSIPCVR,1990-01-01,,RichcBulk
AB493279D,PSZERJBYDW,1990-01-01,,RichcBulk
AB723736D,GLVEOHEJOA,1990-01-01,,RichcBulk
AB523926D,WBGIYQMVJB,1990-01-01,,RichcBulk
AB772732D,CNIUFUUEAC,1990-01-01,,RichcBulk
AB381094D,BKVZQFZTIG,1990-01-01,,RichcBulk
AB821353D,WXDFRBQJWB,1990-01-01,,RichcBulk
AB628207D,SRYJNJSFRQ,1990-01-01,,RichcBulk
AB531327D,UHHEXBXNHZ,1990-01-01,,RichcBulk
AB755444D,RRLJZFLOYP,1990-01-01,,RichcBulk
AB272915D,OKOZRWEYPV,1990-01-01,,RichcBulk
AB205360D,NZDOYEYZOP,1990-01-01,,RichcBulk
AB990972D,CHKGKYOZMD,1990-01-01,,RichcBulk
AB702168D,HNQNULOXWL,1990-01-01,,RichcBulk
AB102142D,STANLNSJIK,1990-01-01,,RichcBulk
AB218444D,MFXQKVOULU,1990-01-01,,RichcBulk
AB873973D,EZYAIYAYZE,1990-01-01,,RichcBulk
AB557850D,LHMMGNUCPL,1990-01-01,,RichcBulk
AB786926D,BDLWBDSXJB,1990-01-01,,RichcBulk
AB632169D,JMSYRXXGSG,1990-01-01,,RichcBulk
AB360822D,NWBXCERYQK,1990-01-01,,RichcBulk
AB849491D,RDIOPKXICN,1990-01-01,,RichcBulk
AB475237D,IECOWFVRFJ,1990-01-01,,RichcBulk
AB503747D,VRRROMVPEC,1990-01-01,,RichcBulk
AB244071D,DFPJYTHGCQ,1990-01-01,,RichcBulk
AB684690D,MSSYRCXLUG,1990-01-01,,RichcBulk
AB990136D,QNRCPDIGGE,1990-01-01,,RichcBulk
AB740249D,OOEUSMJOXU,1990-01-01,,RichcBulk
AB458378D,EOSZBAREUS,1990-01-01,,RichcBulk
AB747490D,BQKGXHEHES,1990-01-01,,RichcBulk
AB850176D,NWVVOGJDQO,1990-01-01,,RichcBulk
AB928652D,RXOPEFVJPH,1990-01-01,,RichcBulk
AB386191D,WUKIJSKKCB,1990-01-01,,RichcBulk
AB412973D,HLRPCMRLAL,1990-01-01,,RichcBulk
AB954217D,BYYWRWRCTN,1990-01-01,,RichcBulk
AB761079D,NJBGGOPSKQ,1990-01-01,,RichcBulk
AB118165D,BTALABLFZE,1990-01-01,,RichcBulk
AB259556D,VWXFJUYKWT,1990-01-01,,RichcBulk
AB232651D,AESQXBFSEO,1990-01-01,,RichcBulk
AB753348D,PBUULZTPKF,1990-01-01,,RichcBulk
AB141614D,NZADGYFHRP,1990-01-01,,RichcBulk
AB704037D,ZVNARREVLQ,1990-01-01,,RichcBulk
AB817492D,UMWWTCWNZH,1990-01-01,,RichcBulk
AB462303D,UUGUHXJQNR,1990-01-01,,RichcBulk
AB106369D,XTZIMTPDVK,1990-01-01,,RichcBulk
AB415551D,ASAMDHSTIP,1990-01-01,,RichcBulk
AB385771D,ZSFBWAMGGE,1990-01-01,,RichcBulk
AB179397D,OOXMAZSUXF,1990-01-01,,RichcBulk
AB447409D,MWERTHEUEG,1990-01-01,,RichcBulk
AB849518D,BNIXZCPOCU,1990-01-01,,RichcBulk
AB189417D,EKUJFPETGE,1990-01-01,,RichcBulk
AB589962D,AWMEHBBSEJ,1990-01-01,,RichcBulk
AB663798D,LCYOQLZSXF,1990-01-01,,RichcBulk
AB187322D,EHPARCRYFZ,1990-01-01,,RichcBulk
AB195413D,DBFLSANEWL,1990-01-01,,RichcBulk
AB602617D,AOLSFGUNNX,1990-01-01,,RichcBulk
AB855305D,TUKVUXSOWG,1990-01-01,,RichcBulk
AB874901D,SZVASIYKEB,1990-01-01,,RichcBulk
AB918234D,FDYCNLRJBA,1990-01-01,,RichcBulk
AB354423D,MISGWLTDRM,1990-01-01,,RichcBulk
AB324958D,KGUHHKNVUB,1990-01-01,,RichcBulk
AB189625D,YKUSOJGOJS,1990-01-01,,RichcBulk
AB927111D,BSLHCXQSLE,1990-01-01,,RichcBulk
AB787994D,EHAWOFXUZS,1990-01-01,,RichcBulk
AB418819D,XXXUMWOWFJ,1990-01-01,,RichcBulk
AB125022D,KQCYGCXXRM,1990-01-01,,RichcBulk
AB113661D,KROVVYIAXB,1990-01-01,,RichcBulk
AB208758D,QJVQKBBWYV,1990-01-01,,RichcBulk
AB829285D,UBNQEAZHNI,1990-01-01,,RichcBulk
AB470886D,XWBSOQZTIU,1990-01-01,,RichcBulk
AB247507D,WIEYJSMTTS,1990-01-01,,RichcBulk
AB605459D,TTINXQNRQL,1990-01-01,,RichcBulk
AB986761D,DPAUABPHFT,1990-01-01,,RichcBulk
AB442150D,PCGLQIWXME,1990-01-01,,RichcBulk
AB487529D,HWISVNYSOQ,1990-01-01,,RichcBulk
AB478670D,CDKEJAKTBD,1990-01-01,,RichcBulk
AB104639D,CJVJJGPDBW,1990-01-01,,RichcBulk
AB437541D,TVGLLIXMZE,1990-01-01,,RichcBulk
AB859383D,RFWORZDNDM,1990-01-01,,RichcBulk
AB638702D,HMQDFWGISO,1990-01-01,,RichcBulk
AB621453D,CLHCRSJHWV,1990-01-01,,RichcBulk
AB408108D,EDDPZSTXWS,1990-01-01,,RichcBulk
AB494260D,LELPDVBSGG,1990-01-01,,RichcBulk
AB746927D,OVXXFZDHUH,1990-01-01,,RichcBulk
AB741669D,NMWUSFNTPK,1990-01-01,,RichcBulk
AB209715D,QQIHPKBZKG,1990-01-01,,RichcBulk
AB883835D,IJRERELIAK,1990-01-01,,RichcBulk
AB391309D,IHGNNQNKEW,1990-01-01,,RichcBulk
AB659725D,UIDGMTZPLH,1990-01-01,,RichcBulk
AB651289D,PCNMRHBTBY,1990-01-01,,RichcBulk
AB469426D,VDXLVAAKEN,1990-01-01,,RichcBulk
AB947748D,NXOUGJUNVR,1990-01-01,,RichcBulk
AB687440D,UJFCTANTPZ,1990-01-01,,RichcBulk
AB676209D,UCAHEVSJFZ,1990-01-01,,RichcBulk
AB939933D,YDKHHFCKLR,1990-01-01,,RichcBulk
AB113273D,JSWUULOSXK,1990-01-01,,RichcBulk
AB604786D,OWJJGALZRB,1990-01-01,,RichcBulk
AB109616D,CAUMHWAJCH,1990-01-01,,RichcBulk
AB338359D,PONBEFULPE,1990-01-01,,RichcBulk
AB539477D,SDILFRTQZV,1990-01-01,,RichcBulk
AB239055D,MMRJTTIVPR,1990-01-01,,RichcBulk
AB466799D,JAIMVXDJYE,1990-01-01,,RichcBulk
AB400569D,QJXDBXYTIU,1990-01-01,,RichcBulk
AB935799D,DUGYCIDXVT,1990-01-01,,RichcBulk
AB748599D,ZEEOKLZCXX,1990-01-01,,RichcBulk
AB941067D,KMOJHBFIWH,1990-01-01,,RichcBulk
AB379155D,LKJZTDZEVX,1990-01-01,,RichcBulk
AB377402D,ZJMHKKLYIX,1990-01-01,,RichcBulk
AB721149D,JJQBCHPGRA,1990-01-01,,RichcBulk
AB992095D,XUEXBVQLEJ,1990-01-01,,RichcBulk
AB404992D,ERDPMSZJLE,1990-01-01,,RichcBulk
AB201446D,BEAOFMQWJY,1990-01-01,,RichcBulk
AB250004D,AVPRPKSVEQ,1990-01-01,,RichcBulk
AB680310D,XTHRXEYOOA,1990-01-01,,RichcBulk
AB401047D,UOXXYGCHUJ,1990-01-01,,RichcBulk
AB825283D,LZUCFYJNAB,1990-01-01,,RichcBulk
AB828273D,RULBTIUIUK,1990-01-01,,RichcBulk
AB866993D,RJEGIXOIXH,1990-01-01,,RichcBulk
AB755161D,LSDQHWHMRR,1990-01-01,,RichcBulk
AB317199D,EBBWUSTTTX,1990-01-01,,RichcBulk
AB666620D,RMJHDCTYJT,1990-01-01,,RichcBulk
AB458942D,LLZDYGGWEK,1990-01-01,,RichcBulk
AB123190D,NYCQHAQYOC,1990-01-01,,RichcBulk
AB324971D,UWPABBNWJS,1990-01-01,,RichcBulk
AB560200D,KSEDHLXMNR,1990-01-01,,RichcBulk
AB964762D,SYJVDOZXXD,1990-01-01,,RichcBulk
AB936519D,DEVSRIRMGD,1990-01-01,,RichcBulk
AB462467D,FMGIZTMESX,1990-01-01,,RichcBulk
AB386626D,AVJSGQPMEY,1990-01-01,,RichcBulk
AB457276D,QVWGBCCYOF,1990-01-01,,RichcBulk
AB887942D,BMJYVWLHWG,1990-01-01,,RichcBulk
AB406384D,FGWMGNGJPK,1990-01-01,,RichcBulk
AB849348D,MGXZXQOMRA,1990-01-01,,RichcBulk
AB837421D,GYBHXLNPDN,1990-01-01,,RichcBulk
AB697199D,AKVSEWBRHF,1990-01-01,,RichcBulk
AB863369D,NVEYAFCQYR,1990-01-01,,RichcBulk
AB663134D,HEQPVOIZHF,1990-01-01,,RichcBulk
AB781016D,JXWSASCHHA,1990-01-01,,RichcBulk
AB541393D,BAFXQBXBQQ,1990-01-01,,RichcBulk
AB107335D,AGZNXKGGTZ,1990-01-01,,RichcBulk
AB638647D,RXHIVHHNBJ,1990-01-01,,RichcBulk
AB969243D,UUSRCZWWNH,1990-01-01,,RichcBulk
AB269397D,EFZNUSKLKJ,1990-01-01,,RichcBulk
AB699460D,FXSJOCXPXD,1990-01-01,,RichcBulk
AB561278D,BAETKJSWNT,1990-01-01,,RichcBulk
AB946316D,QMEGWRMUEP,1990-01-01,,RichcBulk
AB651025D,GJMVUKNPMN,1990-01-01,,RichcBulk
AB553144D,LLFINDZXHE,1990-01-01,,RichcBulk
AB655309D,YIVFPWBPCK,1990-01-01,,RichcBulk
AB339546D,ULERSWSEPQ,1990-01-01,,RichcBulk
AB311685D,YOKFLNKVQT,1990-01-01,,RichcBulk
AB261560D,RYIGCLWPTQ,1990-01-01,,RichcBulk
AB194022D,CUJOFCRTRA,1990-01-01,,RichcBulk
AB419988D,FDZDNMQSVO,1990-01-01,,RichcBulk
AB963375D,EPQDKZMZBZ,1990-01-01,,RichcBulk
AB987959D,KIMFQUSCAY,1990-01-01,,RichcBulk
AB588582D,OSDTQFMFTF,1990-01-01,,RichcBulk
AB738059D,YFVWERZEYI,1990-01-01,,RichcBulk
AB553365D,ELRXSMPCFN,1990-01-01,,RichcBulk
AB436827D,GIQDGUENHJ,1990-01-01,,RichcBulk
AB767947D,WDCQWUWJZB,1990-01-01,,RichcBulk
AB326790D,XQXKMGXSYG,1990-01-01,,RichcBulk
AB241660D,ISHYHHGAAB,1990-01-01,,RichcBulk
AB440050D,CDFYLONAEV,1990-01-01,,RichcBulk
AB858942D,VOKTJAJFWR,1990-01-01,,RichcBulk
AB250743D,MZFFQRBJSW,1990-01-01,,RichcBulk
AB107392D,MUMQZDZKMR,1990-01-01,,RichcBulk
AB993507D,YHJUHSOQZD,1990-01-01,,RichcBulk
AB877568D,GLQFMTGYAI,1990-01-01,,RichcBulk
AB874316D,TEEYZUTBND,1990-01-01,,RichcBulk
AB102330D,CPKYNQUZIB,1990-01-01,,RichcBulk
AB210778D,ZBYTDMDHQR,1990-01-01,,RichcBulk
AB661434D,DCOLQCJSTW,1990-01-01,,RichcBulk
AB565549D,MCSOCXXUBO,1990-01-01,,RichcBulk
AB828098D,KNSQBRTHMZ,1990-01-01,,RichcBulk
AB377925D,WJMZZJLFZT,1990-01-01,,RichcBulk
AB406831D,ZKUQVPFLDZ,1990-01-01,,RichcBulk
AB906897D,ZTKTQCNOKI,1990-01-01,,RichcBulk
AB311816D,BEPTUYWYIH,1990-01-01,,RichcBulk
AB342855D,AUUBYUXZLT,1990-01-01,,RichcBulk
AB150969D,BWPOBNBXLC,1990-01-01,,RichcBulk
AB910448D,YODKAIRVPT,1990-01-01,,RichcBulk
AB754664D,WWYNYUKXJU,1990-01-01,,RichcBulk
AB479912D,SLIGVXQDKP,1990-01-01,,RichcBulk
AB634597D,WLYJAOIXRW,1990-01-01,,RichcBulk
AB331873D,NCSWGMJVQY,1990-01-01,,RichcBulk
AB451771D,IJMKLWIKVN,1990-01-01,,RichcBulk
AB903524D,VIMKWCTRPC,1990-01-01,,RichcBulk
AB876021D,GZOHITNERZ,1990-01-01,,RichcBulk
AB304541D,KAHAXABZYH,1990-01-01,,RichcBulk
AB243852D,YWAQROBDSQ,1990-01-01,,RichcBulk
AB182060D,PTQPMPKOGO,1990-01-01,,RichcBulk
AB466692D,BBNRBRDRGQ,1990-01-01,,RichcBulk
AB982753D,ZWYNPMYIWV,1990-01-01,,RichcBulk
AB414266D,TBWWMLBGAT,1990-01-01,,RichcBulk
AB970538D,FEEZTEPLAO,1990-01-01,,RichcBulk
AB680803D,CWDITRNAOQ,1990-01-01,,RichcBulk
AB665417D,MFHPNADUER,1990-01-01,,RichcBulk
AB103384D,DFDBTSIGEC,1990-01-01,,RichcBulk
AB188666D,JQZTUBJVJY,1990-01-01,,RichcBulk
AB665987D,HWWKVGEYWA,1990-01-01,,RichcBulk
AB293803D,ANCUBYOBTF,1990-01-01,,RichcBulk
AB124549D,BLGGPUKCQG,1990-01-01,,RichcBulk
AB728093D,APTROXLFMB,1990-01-01,,RichcBulk
AB982832D,JQNKDHOYMZ,1990-01-01,,RichcBulk
AB329500D,HDZNEQHVVR,1990-01-01,,RichcBulk
AB982037D,YWEABCMIAZ,1990-01-01,,RichcBulk
AB605126D,IWIVFYSLDG,1990-01-01,,RichcBulk
AB357285D,AYPSAAKYBA,1990-01-01,,RichcBulk
AB769876D,BUUUSYLCLH,1990-01-01,,RichcBulk
AB292887D,DUVYUYBDXE,1990-01-01,,RichcBulk
AB199549D,GBJSKTMKHQ,1990-01-01,,RichcBulk
AB366304D,NKORVPNTDN,1990-01-01,,RichcBulk
AB864659D,UMVPMAERNO,1990-01-01,,RichcBulk
AB132753D,VIVCHQAVMA,1990-01-01,,RichcBulk
AB627088D,LSHTEKTYNU,1990-01-01,,RichcBulk
AB973168D,GRBKTKDTBL,1990-01-01,,RichcBulk
AB781122D,QXVFAHOICM,1990-01-01,,RichcBulk
AB637405D,SXGGDZVRRB,1990-01-01,,RichcBulk
AB757400D,JJHTACZOXH,1990-01-01,,RichcBulk
AB190563D,HEIZEEGNGF,1990-01-01,,RichcBulk
AB367170D,XYARKCXNSB,1990-01-01,,RichcBulk
AB359066D,SARPHXQCQK,1990-01-01,,RichcBulk
AB815635D,PTUQQAXPIA,1990-01-01,,RichcBulk
AB618213D,UNREGJNQBT,1990-01-01,,RichcBulk
AB652778D,FPUSGMFXZQ,1990-01-01,,RichcBulk
AB362621D,YAXQERXMUI,1990-01-01,,RichcBulk
AB953835D,JHEZDXKAZH,1990-01-01,,RichcBulk
AB854705D,SIYFJBFZWE,1990-01-01,,RichcBulk
